City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,New Norfolk,-42.78,147.06,50.0,61,75,12.75,AU,2019-11-08 04:50:02
126,Bilma,18.69,12.92,75.79,18,0,6.67,NE,2019-11-08 04:50:02
127,San Andres,13.32,122.68,85.51,64,52,9.46,PH,2019-11-08 04:50:02
128,Sokolo,14.74,-6.12,77.79,22,35,6.44,ML,2019-11-08 04:50:02
129,Arlit,18.74,7.39,79.79,15,0,8.55,NE,2019-11-08 04:47:11
130,Sinnamary,5.38,-52.96,81.75,82,87,14.67,GF,2019-11-08 04:50:03
131,Geraldton,49.72,-86.95,12.2,66,90,3.36,CA,2019-11-08 04:50:03
132,Castro,-42.48,-73.76,35.6,90,98,2.91,CL,2019-11-08 04:50:03
133,Tres Arroyos,-38.38,-60.28,40.69,87,60,8.34,AR,2019-11-08 04:50:04
134,Uthal,25.81,66.62,81.9,8,0,4.81,PK,2019-11-08 04:50:04
135,Miraflores,-16.39,-71.52,57.2,24,16,2.24,PE,2019-11-08 04:47:43
136,Faanui,-16.48,-151.75,80.94,81,17,20.2,PF,2019-11-08 04:45:05
137,Awbari,26.59,12.77,64.15,47,0,7.18,LY,2019-11-08 04:50:04
138,Sao Filipe,14.9,-24.5,73.89,80,100,11.86,CV,2019-11-08 04:45:57
139,Ust-Maya,60.42,134.54,-6.22,88,100,5.44,RU,2019-11-08 04:47:55
140,Maniwaki,46.38,-75.98,21.67,70,43,5.48,CA,2019-11-08 04:50:05
141,Isangel,-19.55,169.27,80.6,69,75,11.41,VU,2019-11-08 04:50:05
142,Kokoda,-8.88,147.74,65.77,86,98,3.36,PG,2019-11-08 04:50:05
143,Aklavik,68.22,-135.01,12.2,78,90,5.82,CA,2019-11-08 04:50:06
144,Erzin,36.95,36.2,57.2,67,0,4.7,TR,2019-11-08 04:50:06
145,Motygino,58.18,94.69,32.34,98,100,12.08,RU,2019-11-08 04:50:06
146,Fort Nelson,58.81,-122.69,21.2,92,90,9.17,CA,2019-11-08 04:50:06
147,Uvalde,29.21,-99.79,48.2,81,90,11.41,US,2019-11-08 04:49:03
148,Rocha,-34.48,-54.34,53.37,88,0,6.89,UY,2019-11-08 04:48:26
149,San Cristobal,14.68,-86.92,64.35,98,21,2.46,HN,2019-11-08 04:50:07
150,San Jose,14.25,-87.96,63.95,91,20,6.13,HN,2019-11-08 04:47:15
151,Paamiut,61.99,-49.67,40.17,48,99,12.93,GL,2019-11-08 04:50:08
152,Carnarvon,-30.97,22.13,56.52,41,27,16.37,ZA,2019-11-08 04:50:08
153,Bethel,60.79,-161.76,30.2,92,90,14.99,US,2019-11-08 04:50:08
154,Chistogorskiy,53.98,87.38,37.81,53,100,11.63,RU,2019-11-08 04:50:08
155,Sao Jose Da Coroa Grande,-8.9,-35.15,79.32,74,89,13.49,BR,2019-11-08 04:47:29
156,Roald,62.58,6.12,28.4,92,1,11.41,NO,2019-11-08 04:50:09
157,Kloulklubed,7.04,134.26,82.4,83,75,9.17,PW,2019-11-08 04:50:09
158,Kieta,-6.22,155.63,83.89,71,36,2.04,PG,2019-11-08 04:50:09
159,Port Lincoln,-34.72,135.86,58.41,50,48,19.53,AU,2019-11-08 04:50:10
160,Kefamenanu,-9.45,124.48,91.45,33,0,16.82,ID,2019-11-08 04:50:10
161,Willowmore,-33.3,23.49,51.42,65,100,1.66,ZA,2019-11-08 04:50:10
162,Inta,66.04,60.13,5.38,95,100,8.81,RU,2019-11-08 04:50:11
163,Srednekolymsk,67.46,153.71,-2.19,98,13,2.8,RU,2019-11-08 04:50:11
